placeholder_id,location,recording_timestamp,current_description,current_implementation,required_replacement,replacement_asset_id,source,license,blender_source,runtime_asset,lod_status,material_status,animation_status,audio_status,integration_status,verification_status
"ph-001","city entry","00:09","flat road surface","procedural road slab","authored asphalt road with gutters and drainage","street.road.hero","project-authored + Poly Haven Asphalt Floor","Project-owned + CC0-1.0","Shenzhen_City_Production_Pass_02.blend","hero-district.glb","runtime distance strategy pending","PBR runtime override","not applicable","exterior ambience implemented","integrated","fixed-camera browser capture complete"
"ph-002","city entry","00:09","flat sidewalks","procedural boxes","slab joints curbs and gutters","street.sidewalk.hero","project-authored + Poly Haven Concrete Pavement","Project-owned + CC0-1.0","Shenzhen_City_Production_Pass_02.blend","hero-district.glb","runtime distance strategy pending","PBR runtime override","not applicable","footstep zones implemented","integrated","fixed-camera browser capture complete"
"ph-003","boulevard","00:12","flat lane markings","flat colored planes","authored recessed road markings","street.markings.hero","project-authored","Project-owned","Shenzhen_City_Production_Pass_02.blend","hero-district.glb","not required","authored reflective paint","not applicable","not applicable","integrated","fixed-camera browser capture complete"
"ph-004","boulevard","00:14","missing storm drainage","absent","drains manholes and gutters","street.drainage.set","project-authored","Project-owned","Shenzhen_City_Production_Pass_02.blend","hero-district.glb","not required","PBR metal/asphalt","not applicable","not applicable","integrated","fixed-camera browser capture complete"
"ph-005","west arcade","00:15","box building","procedural BoxGeometry shell","constructed commercial facade","architecture.west-arcade","project-authored","Project-owned","Shenzhen_City_Production_Pass_02.blend","hero-district.glb","embedded LOD pending","authored multi-material","not applicable","localized exterior bed","integrated","fixed-camera browser capture complete"
"ph-006","west records","00:16","box building","procedural BoxGeometry shell","constructed mixed-use facade","architecture.west-records","project-authored","Project-owned","Shenzhen_City_Production_Pass_02.blend","hero-district.glb","embedded LOD pending","authored multi-material","not applicable","localized exterior bed","integrated","fixed-camera browser capture complete"
"ph-007","west noodle","00:17","box building","procedural BoxGeometry shell","older market-district facade","architecture.west-noodle","project-authored","Project-owned","Shenzhen_City_Production_Pass_02.blend","hero-district.glb","embedded LOD pending","authored multi-material","not applicable","market ambience implemented","integrated","fixed-camera browser capture complete"
"ph-008","west cinema","00:18","box building","procedural BoxGeometry shell","constructed entertainment facade","architecture.west-cinema","project-authored","Project-owned","Shenzhen_City_Production_Pass_02.blend","hero-district.glb","embedded LOD pending","authored multi-material","not applicable","localized exterior bed","integrated","fixed-camera browser capture complete"
"ph-009","east cycles","00:19","box building","procedural BoxGeometry shell","constructed commercial facade","architecture.east-cycles","project-authored","Project-owned","Shenzhen_City_Production_Pass_02.blend","hero-district.glb","embedded LOD pending","authored multi-material","not applicable","localized exterior bed","integrated","fixed-camera browser capture complete"
"ph-010","east tea","00:20","box building","procedural BoxGeometry shell","constructed small-business frontage","architecture.east-tea","project-authored","Project-owned","Shenzhen_City_Production_Pass_02.blend","hero-district.glb","embedded LOD pending","authored multi-material","not applicable","market ambience implemented","integrated","fixed-camera browser capture complete"
"ph-011","east hotel","00:21","box building","procedural BoxGeometry shell","constructed hotel facade","architecture.east-hotel","project-authored","Project-owned","Shenzhen_City_Production_Pass_02.blend","hero-district.glb","embedded LOD pending","authored multi-material","not applicable","localized exterior bed","integrated","fixed-camera browser capture complete"
"ph-012","all storefronts","00:15-00:35","flat glowing window rectangles","flat emissive planes","recessed glass with frames mullions and sills","architecture.window-set.v1","project-authored","Project-owned","Shenzhen_City_Production_Pass_02.blend","hero-district.glb","shared distance tier pending","authored glass/frame/emissive mix","not applicable","not applicable","integrated","fixed-camera browser capture complete"
"ph-013","all storefronts","00:15-00:35","flat entrances","primitive door planes","framed door and canopy modules","architecture.door-canopy-set.v1","project-authored","Project-owned","Shenzhen_City_Production_Pass_02.blend","hero-district.glb","not required","authored metal/glass","automatic HQ door retained","door event audio retained","integrated","fixed-camera browser capture complete"
"ph-014","rooftops","00:15-00:35","empty flat roofs","none","parapets HVAC and drainage","architecture.rooftop-mechanical.v1","project-authored","Project-owned","Shenzhen_City_Production_Pass_02.blend","hero-district.glb","distance culling pending","authored metal/concrete","not applicable","HVAC ambience retained","integrated","fixed-camera browser capture complete"
"ph-015","distant skyline","00:20-00:65","black silhouette boxes","legacy primitive skyline","authored textured skyline clusters","architecture.skyline-cluster","not yet authored","not applicable","","","missing","missing","not applicable","distant city bed implemented","not integrated","remaining"
"ph-016","market stall 1","00:24","primitive canopy and boxes","BoxGeometry/CylinderGeometry","distinct framed stall with shelving and stock","market.stall.01","project-authored","Project-owned","Shenzhen_City_Production_Pass_02.blend","hero-district.glb","shared distance tier pending","authored cloth/wood/metal","ambient browsing retained","market zone bed implemented","integrated","fixed-camera browser capture complete"
"ph-017","market stall 2","00:25","primitive canopy and boxes","BoxGeometry/CylinderGeometry","distinct framed stall with shelving and stock","market.stall.02","project-authored","Project-owned","Shenzhen_City_Production_Pass_02.blend","hero-district.glb","shared distance tier pending","authored cloth/wood/metal","ambient browsing retained","market zone bed implemented","integrated","fixed-camera browser capture complete"
"ph-018","market stall 3","00:26","primitive canopy and boxes","BoxGeometry/CylinderGeometry","distinct framed stall with shelving and stock","market.stall.03","project-authored","Project-owned","Shenzhen_City_Production_Pass_02.blend","hero-district.glb","shared distance tier pending","authored cloth/wood/metal","ambient browsing retained","market zone bed implemented","integrated","fixed-camera browser capture complete"
"ph-019","market stall 4","00:27","primitive canopy and boxes","BoxGeometry/CylinderGeometry","distinct framed stall with shelving and stock","market.stall.04","project-authored","Project-owned","Shenzhen_City_Production_Pass_02.blend","hero-district.glb","shared distance tier pending","authored cloth/wood/metal","ambient browsing retained","market zone bed implemented","integrated","fixed-camera browser capture complete"
"ph-020","market stall 5","00:28","primitive canopy and boxes","BoxGeometry/CylinderGeometry","distinct framed stall with shelving and stock","market.stall.05","project-authored","Project-owned","Shenzhen_City_Production_Pass_02.blend","hero-district.glb","shared distance tier pending","authored cloth/wood/metal","ambient browsing retained","market zone bed implemented","integrated","fixed-camera browser capture complete"
"ph-021","market stall 6","00:29","primitive canopy and boxes","BoxGeometry/CylinderGeometry","distinct framed stall with shelving and stock","market.stall.06","project-authored","Project-owned","Shenzhen_City_Production_Pass_02.blend","hero-district.glb","shared distance tier pending","authored cloth/wood/metal","ambient browsing retained","market zone bed implemented","integrated","fixed-camera browser capture complete"
"ph-022","market","00:24-00:35","empty stalls","few colored boxes","shelves crates merchandise hanging lamps","market.merchandise-set.v1","project-authored","Project-owned","Shenzhen_City_Production_Pass_02.blend","hero-district.glb","distance culling pending","authored multi-material","not applicable","market zone bed implemented","integrated","fixed-camera browser capture complete"
"ph-023","boulevard","00:12-00:65","toy sedan","Kenney low-poly GLB","original unbranded premium sedan","vehicle.premium-sedan.v1","project-authored","Project-owned","Shenzhen_City_Production_Pass_02.blend","premium-sedan.glb","explicit LOD pending","authored automotive materials","wheel rotation integrated","procedural vehicle bus retained","integrated","fixed-camera browser capture complete"
"ph-024","boulevard","00:12-00:65","toy SUV","Kenney low-poly GLB","original unbranded SUV/crossover","vehicle.suv-crossover.v1","project-authored","Project-owned","Shenzhen_City_Production_Pass_02.blend","suv-crossover.glb","explicit LOD pending","authored automotive materials","wheel rotation integrated","procedural vehicle bus retained","integrated","fixed-camera browser capture complete"
"ph-025","boulevard","00:12-00:65","toy compact","Kenney low-poly GLB","original unbranded compact city car","vehicle.compact-city.v1","project-authored","Project-owned","Shenzhen_City_Production_Pass_02.blend","compact-city.glb","explicit LOD pending","authored automotive materials","wheel rotation integrated","procedural vehicle bus retained","integrated","fixed-camera browser capture complete"
"ph-026","boulevard","00:12-00:65","toy van","Kenney low-poly GLB","original unbranded delivery van","vehicle.delivery-van.v1","project-authored","Project-owned","Shenzhen_City_Production_Pass_02.blend","delivery-van.glb","explicit LOD pending","authored automotive materials","wheel rotation integrated","procedural vehicle bus retained","integrated","fixed-camera browser capture complete"
"ph-027","pedestrian population","00:09-00:65","chibi Kenney crowd","Kenney child-proportioned GLB","adult-proportioned tiered crowd","character.pedestrian.quaternius-set","Quaternius","CC0-1.0","","quaternius-hero.glb","no explicit LOD","existing PBR-like source materials with 8 apparel tints","walk variants phase-offset","footsteps retained","visible Kenney crowd removed; adult foundation integrated","does not yet meet realistic-human gate"
"ph-028","pedestrian population","00:09-00:65","clone appearance","identical synchronized citizens","at least eight appearances and phase variation","character.pedestrian.appearances.v1","project runtime material variation","Project-owned modifications","","quaternius-hero.glb","no explicit LOD","8 deterministic apparel tints","3 walk motions and phase offsets","footsteps retained","integrated","fixed-camera browser capture complete"
"ph-029","Mira","00:25","cartoon market keeper","Kenney model","believable adult market vendor","character.mira.current","Quaternius","CC0-1.0","","quaternius-hero.glb","no explicit LOD","appearance variant","idle talking state","voice not authored","foundation replaced","remaining hero-character quality gap"
"ph-030","Kai","00:65-00:75","stylized hero","Quaternius fantasy ranger","production realistic named character","character.kai.current","Quaternius","CC0-1.0","","quaternius-hero.glb","no explicit LOD","appearance variant","listening/talking idle state","dialogue integration retained; voice not authored","functionality integrated","remaining hero-character quality gap"
"ph-031","secretary","00:75-00:83","cartoon receptionist","Kenney model","production realistic receptionist","character.secretary.current","Quaternius","CC0-1.0","","quaternius-hero.glb","no explicit LOD","appearance variant","seated/idle substitute only","dialogue integration retained; voice not authored","visible Kenney removed","remaining hero-character quality gap"
"ph-032","Floor 45 agent","00:83-00:109","primitive agent presentation","procedural office + android","production agent character and workstation","character.service-android","Three.js RobotExpressive","CC0-1.0","","service-android.glb","no explicit LOD","role palette","existing mixer clips retained","status remains truthful when offline","integrated into authored office","browser route verification pending"
"ph-033","street trees","00:09-00:65","mixed block and realistic trees","Kenney/primitive mix","consistent four-variant detailed tree library","vegetation.street.trees.v1","project procedural detailed tree generator","Project-owned","","runtime-authored Three.js tree meshes","quality-scaled detail","consistent bark/leaf materials","wind motion integrated","wind/leaf audio retained","old block tree rendering removed from exterior","fixed-camera browser capture complete"
"ph-034","park ground","00:35-00:65","simple patch","procedural surface","scanned PBR meadow ground","environment.meadow.ground","Poly Haven","CC0-1.0","Shenron_AAA_Meadow.blend","runtime meadow textures/templates","quality-scaled instancing","scanned PBR maps","vegetation wind","park ambience retained","integrated","fixed-camera browser capture complete"
"ph-035","park undergrowth","00:35-00:65","black spike grass","primitive cones","instanced grass fern and weed templates","environment.meadow.undergrowth","Poly Haven","CC0-1.0","Shenron_AAA_Meadow.blend","meadow-templates.glb","quality-scaled instancing","scanned PBR maps","wind motion","park ambience retained","integrated","fixed-camera browser capture complete"
"ph-036","street props","00:09-00:65","primitive benches","procedural boxes","authored slatted benches","prop.bench.set","project-authored","Project-owned","Shenzhen_City_Production_Pass_02.blend","hero-district.glb","not required","authored wood/metal","not applicable","not applicable","integrated","fixed-camera browser capture complete"
"ph-037","street props","00:09-00:65","primitive bins","procedural cylinders","authored street bins","prop.bin.set","project-authored","Project-owned","Shenzhen_City_Production_Pass_02.blend","hero-district.glb","not required","authored metal","not applicable","not applicable","integrated","fixed-camera browser capture complete"
"ph-038","street props","00:09-00:65","simple lamps","procedural cylinders","authored poles arms and luminaires","prop.streetlight.set","project-authored","Project-owned","Shenzhen_City_Production_Pass_02.blend","hero-district.glb","shared distance tier pending","authored metal/glass/emissive","not applicable","not applicable","integrated with local point lights","fixed-camera browser capture complete"
"ph-039","street props","00:09-00:65","missing human-scale detail","absent","hydrants meters cabinets bike racks shelter","prop.street-support.set","project-authored","Project-owned","Shenzhen_City_Production_Pass_02.blend","hero-district.glb","distance culling pending","authored multi-material","not applicable","not applicable","integrated","fixed-camera browser capture complete"
"ph-040","headquarters exterior","00:55-00:75","box tower and podium","procedural primitive stack","constructed tower podium and entrance","architecture.hq.exterior.v1","project-authored","Project-owned","Shenzhen_City_Production_Pass_02.blend","hero-district.glb","embedded LOD pending","authored concrete/stone/metal/glass","automatic door retained","plaza ambience retained","integrated","fixed-camera browser capture complete"
"ph-041","headquarters entrance","00:65-00:83","flat opening","primitive frame","canopy columns sensors seals tracks and threshold","architecture.hq.entrance.v1","project-authored","Project-owned","Shenzhen_City_Production_Pass_02.blend","hero-district.glb","not required","authored PBR materials","automatic door retained","door event audio retained","integrated","fixed-camera browser capture complete"
"ph-042","headquarters door","00:75-00:83","flat procedural leaves","BoxGeometry","authored glazed automatic door leaf","prop.automatic-door-leaf.v1","project-authored","Project-owned","Shenzhen_City_Production_Pass_02.blend","automatic-door-leaf.glb","not required","authored glass/metal","gameplay transforms retained","door event audio retained","integrated","fixed-camera browser capture complete"
"ph-043","headquarters lobby","00:75-00:83","empty primitive room","procedural BoxGeometry environment","authored complete lobby shell and furniture","interior.hq-lobby.v1","project-authored","Project-owned","Shenzhen_City_Production_Pass_02.blend","hq-lobby.glb","embedded LOD pending","authored multi-material","doors/elevator retained","lobby zone mixer retained","integrated","browser route verification pending"
"ph-044","reception","00:75-00:83","primitive desk","box assembly","layered reception desk and workstation","interior.reception.v1","project-authored","Project-owned","Shenzhen_City_Production_Pass_02.blend","hq-lobby.glb","not required","authored wood/metal/screen","not applicable","office ambience retained","integrated","fixed-camera browser capture complete"
"ph-045","lobby security","00:75-00:83","empty transition","absent","security gates and checkpoint","interior.security-gates.v1","project-authored","Project-owned","Shenzhen_City_Production_Pass_02.blend","hq-lobby.glb","not required","authored metal/glass","not applicable","lobby ambience retained","integrated","fixed-camera browser capture complete"
"ph-046","lobby furniture","00:75-00:83","empty lobby","absent","visitor seating tables planters and directory","interior.lobby-furnishing.v1","project-authored","Project-owned","Shenzhen_City_Production_Pass_02.blend","hq-lobby.glb","not required","authored multi-material","not applicable","lobby ambience retained","integrated","fixed-camera browser capture complete"
"ph-047","elevator portal","00:83-00:109","primitive portal frame","BoxGeometry","authored portal and call station","interior.elevator.portal","project-authored","Project-owned","Shenzhen_City_Production_Pass_02.blend","elevator-static.glb","embedded LOD pending","authored metal/glass/emissive","gameplay retained","elevator audio retained","integrated","fixed-camera browser capture complete"
"ph-048","elevator car","00:83-00:109","primitive car interior","BoxGeometry shell","authored elevator cabin","interior.elevator.car","project-authored","Project-owned","Shenzhen_City_Production_Pass_02.blend","elevator-car.glb","embedded LOD pending","authored metal/glass/rubber/emissive","gameplay transform and doors retained","elevator audio retained","integrated","fixed-camera browser capture complete"
"ph-049","elevator shaft cue","00:83-00:109","cyan torus rings","primitive TorusGeometry","authored shaft ribs and moving practicals","interior.elevator.shaft","project-authored","Project-owned","Shenzhen_City_Production_Pass_02.blend","elevator-static.glb","embedded LOD pending","authored structural metal and restrained practicals","travel state retained","elevator travel bed retained","integrated","fixed-camera browser capture complete"
"ph-050","Floor 45","00:83-00:109","primitive office shell","BoxGeometry surfaces","authored Mission Control interior","interior.floor45.v1","project-authored","Project-owned","Shenzhen_City_Production_Pass_02.blend","floor45.glb","embedded LOD pending","authored multi-material","agent animation retained","Floor45 zone mixer retained","integrated","complete-route verification pending"
"ph-051","navigation","00:09-00:109","giant cyan arrows","procedural ground arrows","restrained minimap and contextual guidance","ui.navigation.production","project-authored","Project-owned","","runtime UI","not applicable","production UI palette","not applicable","UI audio retained","giant arrows removed from production presentation","browser route verification pending"
"ph-052","HUD","00:09-00:109","prototype/debug panel","prototype statistics enabled","commercial HUD with debug stats disabled","ui.hud.production","project-authored","Project-owned","","runtime UI","not applicable","production UI palette","not applicable","UI audio retained","prototype panel removed and canonical city label applied","fixed-camera browser capture complete"
"ph-053","city identity","00:00-00:109","Shenron City naming","legacy user-facing strings","canonical Shenzhen City / Shenron naming","ui.identity.shenzhen","project-authored","Project-owned","","runtime UI/docs","not applicable","not applicable","not applicable","not applicable","user-facing primary strings and repository-facing documentation updated","canonical-name string audit complete"
"ph-054","exterior audio","00:00-00:109","digital silence in recording","procedural Web Audio not captured/unlocked","verified layered non-silent stereo soundscape","audio.exterior.current","project procedural synthesis","Project-owned","","runtime Web Audio","not applicable","not applicable","event and zone state retained","exterior/market/vehicle/footstep buses exist","browser analyser proof complete; gameplay recording pending","recording evidence gate remaining"
"ph-055","lobby audio","00:75-00:83","digital silence in recording","procedural Web Audio not captured/unlocked","verified lobby door and HVAC soundscape","audio.lobby.current","project procedural synthesis","Project-owned","","runtime Web Audio","not applicable","not applicable","door events retained","lobby/doors/elevator buses exist","browser analyser proof complete; gameplay recording pending","recording evidence gate remaining"
