id,phase,severity,status,title,how_found,root_cause,fix,verification,files
P2-001,2B,high,fixed,"Registry match rate reported as 79.3% when the real Manhattan rate is 99.5%","Reviewing REGISTRY_REPORT.json against the source counts","Percentages were computed over all 56476 rows including 11482 context-borough buildings, which can never match a Manhattan-only NYC extract","Report all-rows and Manhattan-only figures separately; Manhattan is the headline number","matched_pct_manhattan = 99.49 across 44994 rows; 42627 high confidence",scripts/phase2/41_build_registry.py
P2-002,2B,medium,fixed,"pluto_joined_pct_manhattan reported 99.49%, identical to the footprint match rate","Two adjacent metrics in the same report had byte-identical values, which is not plausible","Presence of bbl was used as the PLUTO-join test, but bbl comes from the NYC footprint, not from PLUTO","Test building_class instead, which is only ever set from a matched PLUTO lot","pluto_joined_pct_manhattan = 91.97, matching the independently measured 92.0%",scripts/phase2/41_build_registry.py
P2-003,2D,critical,fixed,"42.1% of all buildings classified as brownstone_rowhouse","Distribution sanity check against the real city; no district in Manhattan is 42% rowhouse","NYC building class C is walk-up apartments (tenements), not rowhouses. 12721 C-class buildings were labelled brownstone by an area heuristic","Split on the C sub-class: C0/C3 and small C2/C5 are converted rowhouses, C1/C4/C6/C8 are tenements, C7 is walk-up-over-stores. Verified against measured Manhattan medians per sub-class","Manhattan brownstone 20.7% (9321). Independent envelope test (footprint <150 m2 and <=5 floors) gives 36.9%, so the classifier is conservative not inflated",scripts/phase2/42_classify_architecture.py
P2-004,2D,medium,fixed,"beaux_arts_civic over-assigned at 7.9%","Same distribution check","Any pre-war O-class office below 11 floors fell through to the Beaux-Arts fallback","Route the small pre-war commercial fallback to mixed_use_avenue; reserve Beaux-Arts for the civic classes N/P/Q/J/Y/Z","beaux_arts_civic now 2.6% of Manhattan (1173)",scripts/phase2/42_classify_architecture.py
P2-005,2D,low,fixed,"Geometry fallback assigned brownstone to anything under 260 m2 with <=5 floors","Reviewing the fallback path while fixing P2-003","260 m2 is roughly twice a real NYC rowhouse footprint, so tenement-scale blocks qualified","Tighten to 150 m2, the measured p90 of confirmed rowhouse footprints (136 m2)","Fallback brownstones in Manhattan fell from an estimated 604 to 536; brownstone footprint p50 = 93 m2, p90 = 136 m2",scripts/phase2/42_classify_architecture.py
P2-006,2B,high,fixed,"District assignment badly wrong: Upper West Side 1071 buildings, East Village 70, Chinatown 42, East Harlem 5016","Cross-tabulating archetypes by district and finding implausible district sizes","Phase 1 district_of() used latitude bands split east/west at a fixed local-x. Manhattan is rotated ~29 degrees, so a fixed x drifts across the avenues as latitude changes","Replace with point-in-polygon against NYC 2020 Neighborhood Tabulation Areas (9nt8-h7nd). Implemented as a Phase 2 enrichment because Phase 1 scripts are frozen; the old label is kept in district_coarse","44724 of 44994 (99.40%) assigned, all 38 NTAs used. UWS now 4629 across 3 NTAs, East Village 2405, Chinatown 1109, Stuyvesant Town 84 (correct, it is 110 buildings on superblocks)",scripts/phase2/43_assign_districts.py scripts/phase2/40_fetch_nyc_open_data.py
P2-007,2A,medium,fixed,"verify_baseline.py failed on every rebuild","Running the freeze verifier after a clean rebuild","Binary outputs (.blend, .mp4, .png) embed timestamps, so hashing them as a pass/fail gate can never pass","Split tracked groups into enforced (scripts, caches, derived data) and recorded (binaries, docs, renders). Only enforced groups gate the build","verify_baseline.py passes on a clean rebuild; drift in recorded groups is reported, not failed",scripts/phase2/freeze_baseline.py scripts/phase2/verify_baseline.py
P2-008,2B,low,open,"270 Manhattan buildings fall outside every NTA polygon","District assignment report","They sit on piers and landfill beyond the NTA shoreline, which follows the legal waterfront rather than built structures","Not yet fixed. They retain their Phase 1 label and are flagged nta_type=unassigned so they are visible rather than silently mislabelled","0.60% of Manhattan; all are waterfront structures. Audited 2026-08-05: 270 confirmed, 243 Inwood, 263 of 270 far from the core; the honest fix is the unassigned label, keep open as won't-fix-by-design",scripts/phase2/43_assign_districts.py
P2-009,2D,low,open,"Manhattan buildings classified by geometry alone with no city data behind the decision","archetype_source distribution","They have no PLUTO match, mostly small rear structures, unaddressed lots and new construction","Partly fixed by P2-011 (OSM tags now cover office/apartments/retail). The remainder are recorded as archetype_source=geometry so the gap is auditable","Manhattan geometry-only fell from 3570 to a residue after the OSM-tag path took 3193 rows citywide. Audited 2026-08-05: residue now 277 of 44,994 (0.6%); 215 are <300 m2 rear/small structures, 17 are >=60 m (30 Hudson Yards at 395 m is genuinely new construction with no lot record yet); acceptable residue, keep open",scripts/phase2/42_classify_architecture.py
P2-010,2D,high,fixed,"152 towers between 90 m and 150 m classified as early_skyscraper_masonry regardless of era, including Citigroup Center (1978)","Spot-checking the ten tallest buildings in the browser runtime","The geometry fallback gated the modern eras at h>=150 m, so a 100 m 2005 tower fell past both modern branches into the pre-war archetype. Height was deciding style instead of era","Restructure the tower branch so era decides: >=1985 glass, >=1945 postwar slab, >=1925 art deco, else early tower. Unknown year on a 150 m+ building means no lot record, which almost always means new construction","Tall geometry-decided early_skyscraper_masonry fell from 152 to 19. Spot check: Empire State art deco, Chrysler art deco, Flatiron early tower, Woolworth early tower, Seagram postwar slab, Citigroup postwar slab, One WTC glass",scripts/phase2/42_classify_architecture.py
P2-011,2D,high,fixed,"Supertalls with no PLUTO row fell through to the geometry ladder even though OSM tagged them correctly","Central Park Tower (472 m) and One Manhattan West (303 m) both showed archetype_source=geometry despite a high-confidence NYC footprint match","New construction gets a BIN and a BBL but no PLUTO lot record yet. The OSM-tag fallback only covered church/school/hospital/hotel/warehouse/transit/garage, so office/apartments/residential/retail tags were discarded","Extend the OSM-tag fallback into the shared office and residential lineage helpers, so the tag path and the building-class path cannot drift apart","3193 rows now decided by osm_tag+year+floors. Central Park Tower -> contemporary luxury residential, Citigroup Center -> postwar slab, 30 Rockefeller Plaza -> art deco",scripts/phase2/42_classify_architecture.py
P2-012,2C,medium,fixed,"The browser kept serving a stale city after the classifier was re-run","Verifying the archetype fix through the running app: the page reported Citigroup Center as art_deco_tower while the CSV on disk said postwar_office_slab","The dev-server middleware set Cache-Control max-age=3600 on every mount, including the small runtime payload that is rewritten on every classifier run","Cache /tiles/ (large, rarely rebuilt) and set no-store on /data/ (small, rewritten constantly)","A cache-bypassing refetch and a normal reload now agree with the CSV on all six spot-checked landmarks",apps/manhattan-threejs/vite.config.js
P2-013,2B,medium,fixed,"Condominium BBLs do not join to PLUTO, so recent towers lose their lot attributes","Central Park Tower matched a NYC footprint at 1.4 m with a 0.874 area ratio and still had an empty building_class","PLUTO stores condominium lots under the mappluto BBL carried on the building footprint; the registry joined only on base_bbl, which for condos is the pre-condo parcel PLUTO no longer lists. Measured: 3,536 footprints have base_bbl != mappluto_bbl; base_bbl joins PLUTO on 41,705/45,194 (92.28%), mappluto_bbl on 45,143 (99.89%)","41_build_registry.py now carries bbl_mappluto alongside bbl, tries base first then falls back to mappluto, and records which one joined in bbl_source. Full chain re-run; registry and demand regenerated; byte-identical across two runs","pluto_joined_manhattan 41,381 -> 44,733 (91.97% -> 99.42%), 3,353 joined via mappluto. Recovered: Central Park Tower 472 m, 432 Park Avenue 426 m, 53 West 53 320 m, 35 Hudson Yards 304.8 m, 520 5th Avenue 304.8 m, One Manhattan West 303 m. Demand field: 3,407 cells changed, p99 day scale +24.4%, eve +41.6%. 30 rows still unjoined (18 pseudo-BBLs ending 9999, 12 special keys)",scripts/phase2/41_build_registry.py;scripts/phase2/49_build_demand.py
P2-014,2D,critical,fixed,"Every building rendered near-black once the facade shader was applied","First street-level capture from the running app","The shader multiplied the palette colour by diffuseColor, which three had already multiplied by COLOR_0. Two dark values multiplied together: 0.3 * 0.3 = 0.09","Use the palette as the authority on colour and keep COLOR_0 only as a +-8% per-building tint","Street and aerial captures show lit masonry with readable window openings",apps/manhattan-threejs/src/facade.js
